"skim_type","skim_variable","n_missing","complete_rate","factor.ordered","factor.n_unique","factor.top_counts","numeric.mean","numeric.sd","numeric.p0","numeric.p25","numeric.p50","numeric.p75","numeric.p100","numeric.hist"
"factor","MS_SubClass",0,1,FALSE,16,"One: 1079, Two: 575, One: 287, One: 192",NA,NA,NA,NA,NA,NA,NA,NA
"factor","MS_Zoning",0,1,FALSE,7,"Res: 2273, Res: 462, Flo: 139, Res: 27",NA,NA,NA,NA,NA,NA,NA,NA
"factor","Street",0,1,FALSE,2,"Pav: 2918, Grv: 12",NA,NA,NA,NA,NA,NA,NA,NA
"factor","Alley",0,1,FALSE,3,"No_: 2732, Gra: 120, Pav: 78",NA,NA,NA,NA,NA,NA,NA,NA
"factor","Lot_Shape",0,1,FALSE,4,"Reg: 1859, Sli: 979, Mod: 76, Irr: 16",NA,NA,NA,NA,NA,NA,NA,NA
"factor","Land_Contour",0,1,FALSE,4,"Lvl: 2633, HLS: 120, Bnk: 117, Low: 60",NA,NA,NA,NA,NA,NA,NA,NA
"factor","Utilities",0,1,FALSE,3,"All: 2927, NoS: 2, NoS: 1",NA,NA,NA,NA,NA,NA,NA,NA
"factor","Lot_Config",0,1,FALSE,5,"Ins: 2140, Cor: 511, Cul: 180, FR2: 85",NA,NA,NA,NA,NA,NA,NA,NA
"factor","Land_Slope",0,1,FALSE,3,"Gtl: 2789, Mod: 125, Sev: 16",NA,NA,NA,NA,NA,NA,NA,NA
"factor","Neighborhood",0,1,FALSE,28,"Nor: 443, Col: 267, Old: 239, Edw: 194",NA,NA,NA,NA,NA,NA,NA,NA
"factor","Condition_1",0,1,FALSE,9,"Nor: 2522, Fee: 164, Art: 92, RRA: 50",NA,NA,NA,NA,NA,NA,NA,NA
"factor","Condition_2",0,1,FALSE,8,"Nor: 2900, Fee: 13, Art: 5, Pos: 4",NA,NA,NA,NA,NA,NA,NA,NA
"factor","Bldg_Type",0,1,FALSE,5,"One: 2425, Twn: 233, Dup: 109, Twn: 101",NA,NA,NA,NA,NA,NA,NA,NA
"factor","House_Style",0,1,FALSE,8,"One: 1481, Two: 873, One: 314, SLv: 128",NA,NA,NA,NA,NA,NA,NA,NA
"factor","Overall_Qual",0,1,FALSE,10,"Ave: 825, Abo: 732, Goo: 602, Ver: 350",NA,NA,NA,NA,NA,NA,NA,NA
"factor","Overall_Cond",0,1,FALSE,9,"Ave: 1654, Abo: 533, Goo: 390, Ver: 144",NA,NA,NA,NA,NA,NA,NA,NA
"factor","Roof_Style",0,1,FALSE,6,"Gab: 2321, Hip: 551, Gam: 22, Fla: 20",NA,NA,NA,NA,NA,NA,NA,NA
"factor","Roof_Matl",0,1,FALSE,8,"Com: 2887, Tar: 23, WdS: 9, WdS: 7",NA,NA,NA,NA,NA,NA,NA,NA
"factor","Exterior_1st",0,1,FALSE,16,"Vin: 1026, Met: 450, HdB: 442, Wd : 420",NA,NA,NA,NA,NA,NA,NA,NA
"factor","Exterior_2nd",0,1,FALSE,17,"Vin: 1015, Met: 447, HdB: 406, Wd : 397",NA,NA,NA,NA,NA,NA,NA,NA
"factor","Mas_Vnr_Type",0,1,FALSE,5,"Non: 1775, Brk: 880, Sto: 249, Brk: 25",NA,NA,NA,NA,NA,NA,NA,NA
"factor","Exter_Qual",0,1,FALSE,4,"Typ: 1799, Goo: 989, Exc: 107, Fai: 35",NA,NA,NA,NA,NA,NA,NA,NA
"factor","Exter_Cond",0,1,FALSE,5,"Typ: 2549, Goo: 299, Fai: 67, Exc: 12",NA,NA,NA,NA,NA,NA,NA,NA
"factor","Foundation",0,1,FALSE,6,"PCo: 1310, CBl: 1244, Brk: 311, Sla: 49",NA,NA,NA,NA,NA,NA,NA,NA
"factor","Bsmt_Qual",0,1,FALSE,6,"Typ: 1283, Goo: 1219, Exc: 258, Fai: 88",NA,NA,NA,NA,NA,NA,NA,NA
"factor","Bsmt_Cond",0,1,FALSE,6,"Typ: 2616, Goo: 122, Fai: 104, No_: 80",NA,NA,NA,NA,NA,NA,NA,NA
"factor","Bsmt_Exposure",0,1,FALSE,5,"No: 1906, Av: 418, Gd: 284, Mn: 239",NA,NA,NA,NA,NA,NA,NA,NA
"factor","BsmtFin_Type_1",0,1,FALSE,7,"GLQ: 859, Unf: 851, ALQ: 429, Rec: 288",NA,NA,NA,NA,NA,NA,NA,NA
"factor","BsmtFin_Type_2",0,1,FALSE,7,"Unf: 2499, Rec: 106, LwQ: 89, No_: 81",NA,NA,NA,NA,NA,NA,NA,NA
